Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Other Income,RELAXO,,5,7,5,6,4,6,4,4,7,11,6,5,5
Interest,RELAXO,,4,4,4,4,7,4,4,4,4,5,5,5,5
Depreciation,RELAXO,,27,28,29,29,30,31,32,33,35,37,38,38,39
Profit before tax,RELAXO,,40,92,94,84,54,30,41,85,76,60,51,82,60
Tax %,RELAXO,,23%,25%,25%,25%,28%,26%,26%,26%,26%,27%,24%,25%,26%
Net Profit,RELAXO,,31,69,70,63,39,22,30,63,56,44,39,61,44
EPS in Rs,RELAXO,,1.25,2.76,2.82,2.53,1.55,0.90,1.21,2.54,2.26,1.78,1.55,2.47,1.78
Raw PDF,RELAXO,,,,,,,,,,,,,,
Sales,RELIANCE,,139949,167611,185027,207375,218855,229409,216737,212834,207559,231886,225086,236533,231784
Expenses,RELIANCE,,116618,141591,155321,176009,181157,198438,181728,174478,169466,190918,184430,194017,193019
Operating Profit,RELIANCE,,23331,26020,29706,31366,37698,30971,35009,38356,38093,40968,40656,42516,38765
OPM %,RELIANCE,,17%,16%,16%,15%,17%,14%,16%,18%,18%,18%,18%,18%,17%
Other Income,RELIANCE,,4219,4263,7016,2602,2275,3656,3377,2996,3813,3899,4022,4534,3983
Interest,RELIANCE,,3397,3819,3812,3556,3997,4554,5201,5819,5837,5731,5789,5761,5918
Depreciation,RELIANCE,,6883,7230,7683,8001,8942,9726,10183,11452,11775,12585,12903,13569,13596
Profit before tax,RELIANCE,,17270,19234,25227,22411,27034,20347,23002,24081,24294,26551,25986,27720,23234
Tax %,RELIANCE,,20%,20%,19%,20%,28%,24%,23%,11%,25%,25%,24%,24%,25%
Net Profit,RELIANCE,,13806,15479,20539,18021,19443,15512,17806,21327,18258,19878,19641,21243,17445
EPS in Rs,RELIANCE,,19.36,21.58,27.42,23.95,26.54,20.19,23.34,28.53,23.67,25.71,25.52,28.01,22.37
Raw PDF,RELIANCE,,,,,,,,,,,,,,
Sales,ROSSARI,,231,385,428,439,435,425,389,406,411,483,464,473,490
Expenses,ROSSARI,,194,339,381,387,377,369,335,352,353,420,400,409,425
Operating Profit,ROSSARI,,37,46,48,52,58,57,54,55,58,64,64,64,65
OPM %,ROSSARI,,16%,12%,11%,12%,13%,13%,14%,13%,14%,13%,14%,13%,13%
Other Income,ROSSARI,,3,2,6,3,1,1,1,3,2,1,4,1,1
Interest,ROSSARI,,1,2,5,5,5,8,5,4,6,5,4,3,4
Depreciation,ROSSARI,,6,10,16,17,15,16,16,16,14,15,15,16,15
Profit before tax,ROSSARI,,33,36,33,34,39,34,35,37,39,45,48,46,47
Tax %,ROSSARI,,26%,27%,30%,30%,26%,29%,26%,22%,26%,26%,28%,25%,26%
Net Profit,ROSSARI,,25,26,23,24,29,24,26,29,29,33,34,34,35
EPS in Rs,ROSSARI,,4.46,4.76,4.14,4.37,5.21,4.34,4.66,5.25,5.30,5.97,6.23,6.18,6.32
Raw PDF,ROSSARI,,,,,,,,,,,,,,
Sales,ROUTE,,378,436,563,626,729,846,986,1009,967,1015,1024,1017,1103
Expenses,ROUTE,,332,380,502,570,644,743,861,877,840,886,899,892,980
Operating Profit,ROUTE,,46,56,61,56,85,103,125,132,127,128,125,125,124
OPM %,ROUTE,,12%,13%,11%,9%,12%,12%,13%,13%,13%,13%,12%,12%,11%
Other Income,ROUTE,,4,2,5,8,15,2,8,15,11,4,35,13,11
Interest,ROUTE,,0,1,1,3,4,4,7,5,7,7,6,8,9
Depreciation,ROUTE,,7,7,10,15,20,19,22,21,21,21,22,22,22
Profit before tax,ROUTE,,43,50,55,47,76,82,103,120,110,104,132,109,103
Tax %,ROUTE,,20%,17%,16%,-1%,6%,12%,17%,14%,17%,15%,14%,13%,21%
Net Profit,ROUTE,,34,42,46,47,71,73,85,104,92,88,114,95,81
EPS in Rs,ROUTE,,5.86,7.28,7.08,7.25,11.01,11.84,13.23,16.27,14.80,14.18,16.89,14.03,12.51
Raw PDF,ROUTE,,,,,,,,,,,,,,
Sales,RVNL,,3869,4026,5049,6438,4641,4909,5012,5720,5572,4914,4689,6714,4074
Expenses,RVNL,,3641,3799,4730,6029,4360,4593,4736,5345,5222,4616,4440,6258,3892
Operating Profit,RVNL,,228,227,319,408,281,316,276,374,349,298,249,456,182
OPM %,RVNL,,6%,6%,6%,6%,6%,6%,6%,7%,6%,6%,5%,7%,4%
Other Income,RVNL,,211,112,222,225,256,301,325,274,289,320,358,323,264
Interest,RVNL,,134,6,144,146,157,131,147,146,146,133,139,150,137
Depreciation,RVNL,,5,5,4,7,6,5,6,6,6,6,5,4,7
Profit before tax,RVNL,,300,329,393,480,373,481,448,496,487,480,463,625,302
Tax %,RVNL,,23%,15%,25%,21%,20%,21%,15%,28%,30%,18%,22%,23%,26%
Net Profit,RVNL,,232,279,293,378,298,381,382,359,343,394,359,478,224
EPS in Rs,RVNL,,1.11,1.34,1.41,1.81,1.43,1.83,1.83,1.72,1.64,1.89,1.72,2.30,1.07
Raw PDF,RVNL,,,,,,,,,,,,,,
Revenue,SBICARD,,2362,2576,2889,2850,3100,3297,3507,3762,3912,4087,4622,4348,4359
Interest,SBICARD,,229,254,277,267,308,368,464,507,571,605,695,724,767
Expenses,SBICARD,,1779,1938,2307,1930,2074,2341,2467,2565,2631,2760,3258,2811,2867
Financing Profit,SBICARD,,354,385,305,653,718,588,576,690,710,722,668,813,725
Financing Margin %,SBICARD,,15%,15%,11%,23%,23%,18%,16%,18%,18%,18%,14%,19%,17%
Other Income,SBICARD,,89,119,250,166,163,156,149,154,134,134,120,127,124
Depreciation,SBICARD,,33,40,37,39,39,39,41,45,48,47,51,52,49
Profit before tax,SBICARD,,410,464,519,779,841,706,684,800,797,809,738,888,799
Tax %,SBICARD,,26%,26%,26%,25%,25%,26%,26%,25%,26%,26%,26%,25%,26%
Net Profit,SBICARD,,305,345,386,581,627,526,509,596,593,603,549,662,594
EPS in Rs,SBICARD,,3.24,3.66,4.09,6.16,6.65,5.57,5.39,6.30,6.27,6.37,5.78,6.97,6.25
Gross NPA %,SBICARD,,3.91%,3.36%,2.40%,2.22%,2.24%,2.14%,2.22%,2.35%,2.41%,2.43%,2.64%,2.76%,3.06%
Net NPA %,SBICARD,,0.88%,0.91%,0.83%,0.78%,0.79%,0.78%,0.80%,0.87%,0.89%,0.89%,0.96%,0.99%,1.11%
Raw PDF,SBICARD,,,,,,,,,,,,,,
Revenue,SBIN,,68960,73029,73376,74608,76781,84463,91518,98083,101460,107391,112868,117469,118242
Interest,SBIN,,38249,38638,39363,39944,41931,45232,49366,53451,58045,62955,68092,70644,71701
Expenses,SBIN,,44698,42676,52015,54233,42328,49208,56498,59965,49080,59365,62635,65418,53996
Financing Profit,SBIN,,-13987,-8285,-18002,-19569,-7478,-9977,-14346,-15334,-5665,-14930,-17858,-18593,-7455
Financing Margin %,SBIN,,-20%,-11%,-25%,-26%,-10%,-12%,-16%,-16%,-6%,-14%,-16%,-16%,-6%
Other Income,SBIN,,24307,20696,31152,33427,17743,30320,35701,38769,30873,36865,33103,47445,33883
Depreciation,SBIN,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,SBIN,,10320,12411,13150,13858,10265,20342,21355,23436,25208,21936,15245,28852,26428
Tax %,SBIN,,27%,26%,26%,28%,27%,26%,27%,22%,26%,25%,26%,25%,26%
Net Profit,SBIN,,7703,9342,9948,10191,7796,15297,15888,18769,19094,16648,11598,22203,20094
EPS in Rs,SBIN,,8.27,9.96,10.71,10.70,8.21,16.53,17.34,20.27,20.77,18.04,12.40,23.96,21.65
Gross NPA %,SBIN,,,,,,,,,,,,,,
Net NPA %,SBIN,,,,,,,,,,,,,,
Raw PDF,SBIN,,,,,,,,,,,,,,
Sales,SIEMENS,,2839,4174,3421,3801,4258,4657,4015,4858,4873,5808,4825,5750,5204
Expenses,SIEMENS,,2601,3729,3062,3332,3846,4141,3416,4237,4307,5108,4229,4872,4512
Operating Profit,SIEMENS,,238,445,360,469,412,516,599,621,567,700,596,878,692
OPM %,SIEMENS,,8%,11%,11%,12%,10%,11%,15%,13%,12%,12%,12%,15%,13%
Other Income,SIEMENS,,52,66,62,77,77,373,102,117,132,146,164,321,157
Interest,SIEMENS,,8,7,6,13,4,13,4,10,4,5,3,31,5
Depreciation,SIEMENS,,84,85,80,79,79,80,76,78,88,79,78,80,86
Profit before tax,SIEMENS,,198,419,336,455,406,796,621,649,607,762,678,1088,758
Tax %,SIEMENS,,28%,24%,26%,25%,26%,18%,26%,27%,25%,25%,25%,26%,24%
Net Profit,SIEMENS,,142,320,250,340,301,652,463,472,456,572,506,803,578
EPS in Rs,SIEMENS,,3.98,8.99,7.02,9.55,8.44,18.32,12.99,13.24,12.79,16.04,14.19,22.53,16.22
Raw PDF,SIEMENS,,,,,,,,,,,,,,
Sales,SONACOMS,,501,586,494,548,584,653,675,743,731,787,782,884,891
Expenses,SONACOMS,,362,431,364,415,447,492,499,543,529,567,549,637,642
Operating Profit,SONACOMS,,139,154,131,133,138,161,176,200,203,220,233,247,249
OPM %,SONACOMS,,28%,26%,26%,24%,24%,25%,26%,27%,28%,28%,30%,28%,28%
Other Income,SONACOMS,,13,1,5,16,6,7,13,3,3,4,-0,9,9
Interest,SONACOMS,,9,3,3,3,3,4,5,5,5,6,7,7,9
Depreciation,SONACOMS,,33,36,36,37,40,43,47,48,51,53,56,60,61
Profit before tax,SONACOMS,,110,117,97,109,101,121,137,150,150,164,169,189,189
Tax %,SONACOMS,,25%,24%,10%,4%,25%,24%,22%,20%,25%,24%,21%,21%,25%
Net Profit,SONACOMS,,82,88,86,105,76,93,107,120,112,124,134,148,142
EPS in Rs,SONACOMS,,1.41,1.51,1.48,1.79,1.30,1.58,1.83,2.05,1.91,2.12,2.26,2.54,2.42
Raw PDF,SONACOMS,,,,,,,,,,,,,,
Sales,SPICELEC,,0.86,2.84,3.21,3.73,10.35,1.99,2.22,4.14,5.13,2.21,2.28,2.38,2.13
Expenses,SPICELEC,,3.26,3.73,3.56,2.18,7.99,-0.03,4.00,1.68,5.25,3.35,3.21,2.78,3.02
Operating Profit,SPICELEC,,-2.40,-0.89,-0.35,1.55,2.36,2.02,-1.78,2.46,-0.12,-1.14,-0.93,-0.40,-0.89
OPM %,SPICELEC,,-279.07%,-31.34%,-10.90%,41.55%,22.80%,101.51%,-80.18%,59.42%,-2.34%,-51.58%,-40.79%,-16.81%,-41.78%
Other Income,SPICELEC,,0.07,0.63,0.20,-5.21,0.31,0.27,-5.16,2.63,-2.55,-1.43,-2.07,-2.29,-1.32
Interest,SPICELEC,,0.20,0.24,0.21,0.57,0.21,0.20,1.11,1.04,0.67,0.54,0.68,0.68,0.71
Depreciation,SPICELEC,,1.05,1.15,1.25,1.24,1.24,0.98,0.99,0.74,0.71,0.71,0.73,0.73,0.67
Profit before tax,SPICELEC,,-3.58,-1.65,-1.61,-5.47,1.22,1.11,-9.04,3.31,-4.05,-3.82,-4.41,-4.10,-3.59
Tax %,SPICELEC,,1.12%,4.85%,-36.02%,13.53%,-34.43%,-31.53%,-2.10%,-14.20%,-0.49%,-2.36%,-3.17%,16.34%,-0.28%
Net Profit,SPICELEC,,-3.62,-1.73,-1.03,-6.21,1.65,1.46,-8.85,3.77,-4.04,-3.73,-4.26,-4.76,-3.58
EPS in Rs,SPICELEC,,-0.78,-0.38,-0.22,-1.35,0.36,0.32,-1.92,0.82,-0.88,-0.81,-0.92,-1.03,-0.78
Raw PDF,SPICELEC,,,,,,,,,,,,,,
Sales,SRF,,2699,2839,3346,3549,3895,3728,3470,3778,3338,3177,3053,3570,3464
Expenses,SRF,,2028,2164,2464,2601,2900,2959,2636,2846,2642,2551,2487,2874,2861
Operating Profit,SRF,,672,675,881,948,995,769,834,932,696,626,566,696,603
OPM %,SRF,,25%,24%,26%,27%,26%,21%,24%,25%,21%,20%,19%,19%,17%
Other Income,SRF,,14,11,11,7,10,33,10,22,12,29,19,23,25
Interest,SRF,,27,23,29,36,32,44,62,66,66,79,67,90,97
Depreciation,SRF,,123,130,132,132,131,139,151,155,157,161,169,186,188
Profit before tax,SRF,,535,532,730,788,842,618,631,733,486,415,348,443,344
Tax %,SRF,,26%,28%,31%,23%,28%,22%,19%,23%,26%,27%,27%,5%,27%
Net Profit,SRF,,395,382,506,606,608,481,511,562,359,301,253,422,252
EPS in Rs,SRF,,13.35,12.91,17.05,20.43,20.51,16.23,17.24,18.97,12.12,10.15,8.55,14.24,8.51
Raw PDF,SRF,,,,,,,,,,,,,,
Sales,SUNPHARMA,,9719,9626,9863,9447,10762,10952,11241,10931,11941,12192,12381,11983,12653
Expenses,SUNPHARMA,,6898,6996,7257,7106,7877,7996,8237,8129,8609,9013,8904,8948,9045
Operating Profit,SUNPHARMA,,2821,2630,2606,2340,2884,2957,3004,2802,3332,3179,3477,3035,3608
OPM %,SUNPHARMA,,29%,27%,26%,25%,27%,27%,27%,26%,28%,26%,28%,25%,29%
Other Income,SUNPHARMA,,-479,223,433,-3822,2,85,174,202,-118,294,180,504,533
Interest,SUNPHARMA,,35,36,19,37,14,19,46,93,81,49,35,74,62
Depreciation,SUNPHARMA,,503,530,554,556,588,610,660,672,651,633,622,650,655
Profit before tax,SUNPHARMA,,1804,2287,2466,-2076,2285,2412,2471,2240,2481,2791,3000,2816,3424
Tax %,SUNPHARMA,,22%,9%,14%,7%,8%,6%,11%,10%,19%,14%,14%,5%,16%
Net Profit,SUNPHARMA,,1404,2086,2126,-2227,2093,2256,2181,1983,2006,2385,2561,2659,2861
EPS in Rs,SUNPHARMA,,6.02,8.53,8.58,-9.49,8.59,9.43,9.03,8.27,8.43,9.90,10.52,11.06,11.82
Raw PDF,SUNPHARMA,,,,,,,,,,,,,,
Sales,TATACONSUM,,3008,3033,3208,3175,3327,3363,3475,3619,3741,3734,3804,3927,4352
Expenses,TATACONSUM,,2609,2620,2747,2731,2870,2929,3021,3107,3196,3197,3232,3297,3685
Operating Profit,TATACONSUM,,399,413,462,444,457,434,454,512,545,537,572,630,667
OPM %,TATACONSUM,,13%,14%,14%,14%,14%,13%,13%,14%,15%,14%,15%,16%,15%
Other Income,TATACONSUM,,24,23,12,29,11,141,128,49,53,75,-32,-177,22
Interest,TATACONSUM,,20,20,16,16,16,20,24,28,26,28,33,43,94
Depreciation,TATACONSUM,,67,69,70,72,73,73,75,83,82,94,86,116,148
Profit before tax,TATACONSUM,,336,348,388,385,379,482,482,450,489,491,422,294,448
Tax %,TATACONSUM,,28%,25%,26%,25%,27%,26%,23%,23%,27%,27%,25%,9%,30%
Net Profit,TATACONSUM,,200,286,290,239,277,389,364,290,338,364,302,212,289
EPS in Rs,TATACONSUM,,1.93,2.80,2.77,2.27,2.67,3.43,3.65,2.78,3.28,3.51,2.89,2.19,2.93
Raw PDF,TATACONSUM,,,,,,,,,,,,,,
Sales,TATAELXSI,,558,595,635,682,726,763,818,838,850,882,914,906,926
Expenses,TATAELXSI,,408,412,425,460,488,537,571,588,599,618,644,645,674
Operating Profit,TATAELXSI,,150,184,211,221,238,227,247,250,251,264,270,261,252
OPM %,TATAELXSI,,27%,31%,33%,32%,33%,30%,30%,30%,30%,30%,30%,29%,27%
Other Income,TATAELXSI,,18,2,7,18,10,19,19,26,22,31,35,34,32
Interest,TATAELXSI,,2,2,3,3,3,4,4,4,4,6,6,5,5
Depreciation,TATAELXSI,,12,14,14,16,17,22,21,21,21,25,25,28,27
Profit before tax,TATAELXSI,,154,171,200,220,228,219,240,250,248,264,274,262,252
Tax %,TATAELXSI,,26%,27%,25%,27%,19%,20%,19%,19%,24%,24%,25%,25%,27%
Net Profit,TATAELXSI,,113,125,151,160,185,174,195,202,189,200,206,197,184
EPS in Rs,TATAELXSI,,18.21,20.12,24.24,25.69,29.66,27.98,31.26,32.36,30.32,32.15,33.15,31.62,29.56
Raw PDF,TATAELXSI,,,,,,,,,,,,,,
Sales,TATAINVEST,,62,89,51,52,102,107,38,31,152,124,51,57,142
Expenses,TATAINVEST,,6,7,6,23,11,7,6,8,9,10,6,8,12
Operating Profit,TATAINVEST,,56,82,45,29,91,100,32,22,143,114,44,49,131
OPM %,TATAINVEST,,91%,92%,89%,56%,89%,94%,84%,73%,94%,92%,87%,86%,92%
Other Income,TATAINVEST,,1,28,6,0,7,11,11,7,14,13,17,23,25
Interest,TATAINVEST,,0,0,0,0,0,0,3,5,5,5,1,0,0
Depreciation,TATAINVEST,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,TATAINVEST,,57,109,51,29,97,111,39,24,152,122,60,72,156
Tax %,TATAINVEST,,6%,8%,22%,30%,8%,4%,11%,18%,3%,-1%,11%,16%,16%
Net Profit,TATAINVEST,,54,101,40,20,90,107,35,20,148,124,53,60,131
EPS in Rs,TATAINVEST,,10.64,19.86,7.87,3.98,17.78,21.17,6.82,4.01,29.02,24.60,10.52,11.95,25.91
Raw PDF,TATAINVEST,,,,,,,,,,,,,,
Sales,TATAMOTORS,,66406,61379,72229,78439,71935,79611,88489,105932,102236,105128,110577,119986,108048
Expenses,TATAMOTORS,,61164,57262,65151,70156,69522,74039,77668,92818,89019,91361,95159,102851,92263
Operating Profit,TATAMOTORS,,5243,4117,7078,8283,2413,5572,10820,13114,13217,13767,15418,17135,15785
OPM %,TATAMOTORS,,8%,7%,10%,11%,3%,7%,12%,12%,13%,13%,14%,14%,15%
Other Income,TATAMOTORS,,584,862,789,189,2381,1351,1130,1453,895,1507,1604,1619,1747
Interest,TATAMOTORS,,2203,2327,2401,2381,2421,2487,2676,2642,2615,2652,2485,2234,2088
Depreciation,TATAMOTORS,,6202,6123,6078,6432,5841,5897,6072,7050,6633,6636,6850,7151,6574
Profit before tax,TATAMOTORS,,-2579,-3472,-612,-341,-3468,-1461,3203,4875,4864,5986,7687,9369,8870
Tax %,TATAMOTORS,,68%,29%,119%,222%,44%,-31%,8%,-13%,32%,37%,7%,-87%,36%
Net Profit,TATAMOTORS,,-4450,-4416,-1451,-992,-4951,-898,3043,5496,3301,3832,7145,17529,5692
EPS in Rs,TATAMOTORS,,-13.41,-13.38,-4.57,-3.11,-15.08,-2.84,8.91,16.28,9.64,11.33,21.14,52.37,16.74
Raw PDF,TATAMOTORS,,,,,,,,,,,,,,
Sales,TATAPOWER,,10132,9810,10913,11960,14495,14031,14129,12454,15213,15738,14651,15847,17294
Expenses,TATAPOWER,,7984,8481,9279,10091,12812,12270,11810,10526,12500,12967,12234,13540,14232
Operating Profit,TATAPOWER,,2149,1329,1634,1869,1683,1760,2319,1928,2713,2771,2417,2307,3062
OPM %,TATAPOWER,,21%,14%,15%,16%,12%,13%,16%,15%,18%,18%,16%,15%,18%
Other Income,TATAPOWER,,582,1026,865,62,1227,1502,1497,1352,877,567,1092,1407,578
Interest,TATAPOWER,,945,946,953,1015,1026,1052,1098,1196,1221,1182,1094,1136,1176
Depreciation,TATAPOWER,,747,771,758,846,822,838,853,926,893,926,926,1041,973
Profit before tax,TATAPOWER,,1038,638,788,71,1062,1373,1864,1158,1476,1231,1489,1537,1490
Tax %,TATAPOWER,,55%,21%,30%,-794%,17%,32%,44%,19%,23%,17%,28%,32%,20%
Net Profit,TATAPOWER,,466,506,552,632,884,935,1052,939,1141,1017,1076,1046,1189
EPS in Rs,TATAPOWER,,1.22,1.32,1.33,1.57,2.49,2.56,2.96,2.43,3.04,2.74,2.98,2.80,3.04
Raw PDF,TATAPOWER,,,,,,,,,,,,,,
Sales,TATATECH,,,,,,,,1124,1402,1258,1269,1289,1301,1269
Expenses,TATATECH,,,,,,,,918,1160,1007,1055,1053,1061,1038
Operating Profit,TATATECH,,,,,,,,206,243,250,214,237,240,231
OPM %,TATATECH,,,,,,,,18%,17%,20%,17%,18%,18%,18%
Other Income,TATATECH,,,,,,,,18,47,31,30,31,24,23
Interest,TATATECH,,,,,,,,5,5,5,5,5,4,5
Depreciation,TATATECH,,,,,,,,24,25,24,26,27,29,30
Profit before tax,TATATECH,,,,,,,,194,260,253,213,235,231,220
Tax %,TATATECH,,,,,,,,24%,17%,24%,25%,28%,32%,26%
Net Profit,TATATECH,,,,,,,,148,217,192,160,170,157,162
EPS in Rs,TATATECH,,,,,,,,36.58,5.34,4.72,3.95,4.20,3.88,3.99
Raw PDF,TATATECH,,,,,,,,,,,,,,
Sales,TCS,,45411,46867,48885,50591,52758,55309,58229,59162,59381,59692,60583,61237,62613
Expenses,TCS,,32748,33751,35452,36746,39342,40793,42676,43388,44383,43946,44195,44073,45951
Operating Profit,TCS,,12663,13116,13433,13845,13416,14516,15553,15774,14998,15746,16388,17164,16662
OPM %,TCS,,28%,28%,27%,27%,25%,26%,27%,27%,25%,26%,27%,28%,27%
Other Income,TCS,,721,1111,1205,981,789,965,520,1175,1397,1006,-96,1157,962
Interest,TCS,,146,142,251,245,199,148,160,272,163,159,230,226,173
Depreciation,TCS,,1075,1116,1196,1217,1230,1237,1269,1286,1243,1263,1233,1246,1220
Profit before tax,TCS,,12163,12969,13191,13364,12776,14096,14644,15391,14989,15330,14829,16849,16231
Tax %,TCS,,26%,26%,26%,25%,25%,26%,26%,26%,26%,26%,25%,26%,25%
Net Profit,TCS,,9031,9653,9806,9959,9519,10465,10883,11436,11120,11380,11097,12502,12105
EPS in Rs,TCS,,24.35,26.02,26.41,27.13,25.90,28.51,29.64,31.13,30.26,31.00,30.56,34.37,33.28
Raw PDF,TCS,,,,,,,,,,,,,,
Sales,TECHM,,10198,10881,11451,12116,12708,13130,13735,13718,13159,12864,13101,12871,13006
Expenses,TECHM,,8321,8887,9392,10028,10828,11185,11600,11915,11821,11950,11955,11772,11441
Operating Profit,TECHM,,1876,1994,2059,2088,1880,1944,2135,1803,1338,914,1146,1099,1564
OPM %,TECHM,,18%,18%,18%,17%,15%,15%,16%,13%,10%,7%,9%,9%,12%
Other Income,TECHM,,287,282,223,324,122,290,247,306,200,264,92,380,147
Interest,TECHM,,38,35,34,55,40,79,113,93,120,98,116,58,72
Depreciation,TECHM,,331,343,362,484,477,492,498,490,447,466,443,461,462
Profit before tax,TECHM,,1794,1898,1886,1873,1486,1664,1771,1525,971,615,679,959,1178
Tax %,TECHM,,24%,29%,27%,18%,23%,22%,27%,26%,28%,18%,23%,31%,27%
Net Profit,TECHM,,1366,1341,1378,1545,1148,1299,1285,1125,704,505,524,664,865
EPS in Rs,TECHM,,13.97,13.81,14.10,15.49,11.64,13.21,13.32,11.47,7.10,5.06,5.23,6.77,8.71
Raw PDF,TECHM,,,,,,,,,,,,,,
Sales,TIINDIA,,2437,3263,3410,3393,3776,3767,3643,3778,3898,4306,4197,4490,4578
Expenses,TIINDIA,,2157,2883,2969,3042,3379,3256,3174,3288,3431,3744,3728,4039,4050
Operating Profit,TIINDIA,,281,380,441,351,397,511,469,489,467,562,469,451,528
OPM %,TIINDIA,,12%,12%,13%,10%,11%,14%,13%,13%,12%,13%,11%,10%,12%
Other Income,TIINDIA,,25,26,46,37,29,7,95,188,42,59,609,77,65
Interest,TIINDIA,,24,21,22,20,9,12,11,11,11,13,13,15,16
Depreciation,TIINDIA,,97,91,91,76,85,92,95,124,108,118,122,119,114
Profit before tax,TIINDIA,,185,294,374,292,332,414,460,542,390,490,943,395,464
Tax %,TIINDIA,,27%,21%,-4%,23%,26%,33%,29%,12%,27%,30%,13%,31%,32%
Net Profit,TIINDIA,,135,232,390,225,247,277,324,477,284,341,825,271,314
EPS in Rs,TIINDIA,,6.22,9.65,14.46,9.27,10.08,11.08,12.19,16.14,11.14,13.62,27.50,9.80,11.64
Raw PDF,TIINDIA,,,,,,,,,,,,,,
Sales,TITAGARH,,507,342,379,422,432,607,766,974,911,935,955,1052,903
Expenses,TITAGARH,,463,304,336,376,392,554,701,882,805,821,844,935,806
Operating Profit,TITAGARH,,44,38,43,46,40,53,65,92,106,115,111,118,97
OPM %,TITAGARH,,9%,11%,11%,11%,9%,9%,9%,9%,12%,12%,12%,11%,11%
Other Income,TITAGARH,,9,-8,-12,-44,-13,29,11,7,4,7,14,12,12
Interest,TITAGARH,,20,13,17,16,16,20,23,22,19,20,18,16,13
Depreciation,TITAGARH,,8,4,5,6,5,5,5,6,7,7,7,7,7
Profit before tax,TITAGARH,,25,13,9,-19,6,57,48,70,84,95,100,108,90
Tax %,TITAGARH,,31%,57%,83%,33%,101%,21%,32%,31%,27%,25%,25%,27%,26%
Net Profit,TITAGARH,,17,6,1,-25,-0,45,33,48,62,71,75,79,67
EPS in Rs,TITAGARH,,1.46,0.48,0.12,-2.09,0.10,4.03,2.72,4.03,5.17,5.55,5.56,5.86,4.98
Raw PDF,TITAGARH,,,,,,,,,,,,,,
Sales,TITAN,,3473,7493,10037,7796,9443,9163,11609,10360,11897,12529,14164,12494,13266
Expenses,TITAN,,3336,6525,8595,7002,8247,7916,10262,9271,10772,11118,12599,11303,12019
Operating Profit,TITAN,,137,968,1442,794,1196,1247,1347,1089,1125,1411,1565,1191,1247
OPM %,TITAN,,4%,13%,14%,10%,13%,14%,12%,11%,9%,11%,11%,10%,9%
Other Income,TITAN,,46,55,57,22,44,61,90,114,114,125,136,159,120
Interest,TITAN,,49,51,57,61,65,60,79,96,109,140,169,201,230
Depreciation,TITAN,,95,104,98,102,103,106,113,119,128,144,154,158,164
Profit before tax,TITAN,,39,868,1344,653,1072,1142,1245,988,1002,1252,1378,991,973
Tax %,TITAN,,54%,26%,25%,19%,26%,27%,27%,26%,25%,27%,24%,22%,27%
Net Profit,TITAN,,18,641,1012,527,790,835,913,736,756,916,1053,771,715
EPS in Rs,TITAN,,0.23,7.20,11.31,5.74,8.84,9.36,10.18,8.22,8.48,10.31,11.86,8.68,8.05
Raw PDF,TITAN,,,,,,,,,,,,,,
Sales,TORNTPHARM,,2134,2137,2108,2131,2347,2291,2491,2491,2591,2660,2732,2745,2859
Expenses,TORNTPHARM,,1457,1477,1570,1570,1635,1612,1767,1764,1800,1835,1863,1862,1955
Operating Profit,TORNTPHARM,,677,660,538,561,712,679,724,727,791,825,869,883,904
OPM %,TORNTPHARM,,32%,31%,26%,26%,30%,30%,29%,29%,31%,31%,32%,32%,32%
Other Income,TORNTPHARM,,40,51,48,-429,30,16,-10,9,34,26,55,31,24
Interest,TORNTPHARM,,68,71,62,57,55,69,102,107,103,91,80,80,75
Depreciation,TORNTPHARM,,165,168,167,162,155,163,193,196,191,201,213,203,197
Profit before tax,TORNTPHARM,,484,472,357,-87,532,463,419,433,531,559,631,631,656
Tax %,TORNTPHARM,,32%,33%,30%,36%,33%,33%,30%,34%,29%,31%,30%,29%,30%
Net Profit,TORNTPHARM,,330,316,249,-118,354,312,292,287,378,386,443,449,457
EPS in Rs,TORNTPHARM,,9.75,9.34,7.36,-3.49,10.46,9.22,8.63,8.48,11.17,11.41,13.09,13.27,13.50
Raw PDF,TORNTPHARM,,,,,,,,,,,,,,
Sales,TRENT,,492,1178,1499,1329,1803,1953,2303,2183,2628,2982,3467,3298,4104
Expenses,TRENT,,557,968,1226,1204,1512,1697,1980,1980,2261,2526,2838,2828,3492
Operating Profit,TRENT,,-65,210,273,125,292,256,323,203,367,457,629,470,613
OPM %,TRENT,,-13%,18%,18%,9%,16%,13%,14%,9%,14%,15%,18%,14%,15%
Other Income,TRENT,,41,57,42,44,78,84,91,89,79,105,110,695,102
Interest,TRENT,,71,75,77,81,95,91,91,92,92,95,99,33,32
Depreciation,TRENT,,69,73,80,89,127,112,118,137,141,152,165,213,181
Profit before tax,TRENT,,-164,119,157,-1,147,137,204,64,212,314,475,919,501
Tax %,TRENT,,-16%,33%,28%,"1,530%",22%,42%,24%,30%,21%,27%,22%,23%,22%
