Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Other Income,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0,,,13,,,-9,,,-0,,,6,,,23,,,21
Interest,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0,,,25,,,48,,,37,,,17,,,19,,,12
Depreciation,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0,,,53,,,69,,,69,,,73,,,72,,,73
Profit before tax,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,-0,,,12,,,12,,,101,,,349,,,351,,,183
Tax %,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,-179%,,,-23%,,,32%,,,31%,,,27%,,,22%
Net Profit,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,-0,,,35,,,14,,,69,,,240,,,257,,,143
EPS in Rs,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,5.61,,,19.61,,,20.92,,,11.64
Dividend Payout %,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,8%,,,7%,,,13%
Sales,GRSE,3846,,,,,,,1524,,,1611,,,,1562,,,,1657,,,921,,,1347,,,1386,,,1433,,,1141,,,1754,,,2561,,,3593
Expenses,GRSE,3602,,,,,,,1389,,,1488,,,,1500,,,,1565,,,1082,,,1362,,,1344,,,1391,,,1060,,,1613,,,2408,,,3359
Operating Profit,GRSE,244,,,,,,,135,,,123,,,,62,,,,92,,,-161,,,-15,,,42,,,42,,,81,,,141,,,153,,,234
OPM %,GRSE,6%,,,,,,,9%,,,8%,,,,4%,,,,6%,,,-17%,,,-1%,,,3%,,,3%,,,7%,,,8%,,,6%,,,7%
Other Income,GRSE,303,,,,,,,75,,,82,,,,61,,,,191,,,217,,,179,,,169,,,215,,,165,,,154,,,202,,,300
Interest,GRSE,11,,,,,,,1,,,1,,,,6,,,,4,,,9,,,8,,,5,,,3,,,10,,,2,,,10,,,11
Depreciation,GRSE,42,,,,,,,14,,,23,,,,27,,,,28,,,27,,,29,,,27,,,30,,,29,,,36,,,39,,,41
Profit before tax,GRSE,494,,,,,,,194,,,181,,,,90,,,,252,,,20,,,128,,,179,,,224,,,207,,,257,,,305,,,481
Tax %,GRSE,,,,,,,,32%,,,36%,,,,43%,,,,35%,,,43%,,,28%,,,39%,,,27%,,,26%,,,26%,,,25%,,,26%
Net Profit,GRSE,368,,,,,,,132,,,117,,,,52,,,,164,,,11,,,92,,,110,,,163,,,153,,,190,,,228,,,357
EPS in Rs,GRSE,32.10,,,,,,,106.41,,,94.13,,,,41.77,,,,132.79,,,9.26,,,8.07,,,9.60,,,14.27,,,13.40,,,16.55,,,19.91,,,31.19
Dividend Payout %,GRSE,,,,,,,,20%,,,21%,,,,48%,,,,15%,,,472%,,,55%,,,72%,,,50%,,,37%,,,35%,,,31%,,,25%
Sales,HAL,30813,,,,,,,,,,,,,,15939,,,,16758,,,17950,,,18520,,,20008,,,21445,,,22882,,,24620,,,26927,,,30381
Expenses,HAL,20958,,,,,,,,,,,,,,13560,,,,14285,,,14719,,,15071,,,15457,,,16531,,,17538,,,19205,,,20242,,,20630
Operating Profit,HAL,9855,,,,,,,,,,,,,,2379,,,,2474,,,3231,,,3449,,,4551,,,4914,,,5344,,,5415,,,6686,,,9752
OPM %,HAL,32%,,,,,,,,,,,,,,15%,,,,15%,,,18%,,,19%,,,23%,,,23%,,,23%,,,22%,,,25%,,,32%
Other Income,HAL,2252,,,,,,,,,,,,,,1650,,,,1608,,,1058,,,776,,,376,,,423,,,364,,,985,,,1673,,,1923
Interest,HAL,32,,,,,,,,,,,,,,15,,,,6,,,16,,,35,,,178,,,360,,,267,,,65,,,64,,,43
Depreciation,HAL,1355,,,,,,,,,,,,,,822,,,,863,,,681,,,947,,,1025,,,999,,,1158,,,1111,,,1785,,,1407
Profit before tax,HAL,10720,,,,,,,,,,,,,,3191,,,,3213,,,3592,,,3243,,,3725,,,3979,,,4283,,,5225,,,6510,,,10225
Tax %,HAL,,,,,,,,,,,,,,,25%,,,,38%,,,27%,,,39%,,,37%,,,28%,,,24%,,,3%,,,10%,,,25%
Net Profit,HAL,8244,,,,,,,,,,,,,,2399,,,,2004,,,2625,,,1990,,,2328,,,2883,,,3246,,,5080,,,5828,,,7621
EPS in Rs,HAL,123.27,,,,,,,,,,,,,,24.89,,,,27.72,,,36.30,,,29.76,,,34.82,,,43.10,,,48.53,,,75.96,,,87.14,,,113.96
Dividend Payout %,HAL,,,,,,,,,,,,,,,20%,,,,31%,,,30%,,,54%,,,28%,,,39%,,,31%,,,26%,,,32%,,,31%
Sales,HAPPSTMNDS,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,698,,,773,,,1094,,,1429,,,1625
Expenses,HAPPSTMNDS,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,,601,,,582,,,836,,,1070,,,1289
Operating Profit,HAPPSTMNDS,331,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,97,,,191,,,258,,,359,,,336
OPM %,HAPPSTMNDS,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,14%,,,25%,,,24%,,,25%,,,21%
Other Income,HAPPSTMNDS,111,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,5,,,24,,,31,,,15,,,99
Interest,HAPPSTMNDS,52,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,8,,,6,,,10,,,22,,,42
Depreciation,HAPPSTMNDS,66,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,20,,,23,,,33,,,42,,,58
Profit before tax,HAPPSTMNDS,324,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,74,,,186,,,246,,,310,,,335
Tax %,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9%,,,3%,,,13%,,,26%,,,25%,,,26%
Net Profit,HAPPSTMNDS,241,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,72,,,162,,,181,,,231,,,248
EPS in Rs,HAPPSTMNDS,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,14.52,,,11.06,,,12.34,,,15.73,,,16.31
Dividend Payout %,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,26%,,,30%,,,34%,,,35%
Sales,HAVELLS,19562,,,,,,,7135,,,8051,,,,8468,,,,7594,,,6130,,,8116,,,10073,,,9440,,,10457,,,13938,,,16911,,,18590
Expenses,HAVELLS,17550,,,,,,,6461,,,7274,,,,7713,,,,6798,,,5315,,,7083,,,8885,,,8374,,,8868,,,12163,,,15290,,,16709
Operating Profit,HAVELLS,2013,,,,,,,674,,,777,,,,755,,,,796,,,815,,,1033,,,1189,,,1067,,,1589,,,1775,,,1621,,,1881
OPM %,HAVELLS,10%,,,,,,,9%,,,10%,,,,9%,,,,10%,,,13%,,,13%,,,12%,,,11%,,,15%,,,13%,,,10%,,,10%
Other Income,HAVELLS,261,,,,,,,222,,,35,,,,48,,,,949,,,42,,,97,,,124,,,107,,,187,,,159,,,178,,,249
Interest,HAVELLS,46,,,,,,,123,,,102,,,,96,,,,91,,,13,,,25,,,16,,,51,,,90,,,67,,,55,,,84
Depreciation,HAVELLS,354,,,,,,,110,,,116,,,,139,,,,134,,,121,,,140,,,149,,,218,,,249,,,261,,,296,,,338
Profit before tax,HAVELLS,1874,,,,,,,664,,,594,,,,569,,,,1520,,,723,,,965,,,1147,,,904,,,1438,,,1607,,,1447,,,1707
Tax %,HAVELLS,,,,,,,,12%,,,25%,,,,32%,,,,14%,,,32%,,,31%,,,31%,,,19%,,,27%,,,26%,,,26%,,,26%
Net Profit,HAVELLS,1391,,,,,,,581,,,446,,,,385,,,,1300,,,494,,,661,,,788,,,735,,,1044,,,1196,,,1072,,,1271
EPS in Rs,HAVELLS,22.20,,,,,,,9.32,,,7.15,,,,6.17,,,,20.82,,,7.91,,,10.60,,,12.59,,,11.75,,,16.68,,,19.10,,,17.11,,,20.28
Dividend Payout %,HAVELLS,,,,,,,,16%,,,42%,,,,49%,,,,29%,,,44%,,,4%,,,36%,,,34%,,,39%,,,39%,,,44%,,,44%
Sales,HCLTECH,111674,,,,,,,,25581,,,32144,,,,36701,,,31136,,,47568,,,50569,,,60427,,,70676,,,75379,,,85651,,,101456,,,109913
Expenses,HCLTECH,87048,,,,,,,,19901,,,24108,,,,28215,,,24482,,,37178,,,39323,,,46501,,,53360,,,55331,,,65122,,,78828,,,85715
Operating Profit,HCLTECH,24626,,,,,,,,5680,,,8035,,,,8486,,,6654,,,10390,,,11246,,,13926,,,17316,,,20048,,,20529,,,22628,,,24198
OPM %,HCLTECH,22%,,,,,,,,22%,,,25%,,,,23%,,,21%,,,22%,,,22%,,,23%,,,24%,,,27%,,,24%,,,22%,,,22%
Other Income,HCLTECH,2254,,,,,,,,332,,,677,,,,1126,,,871,,,1069,,,1230,,,943,,,589,,,927,,,1067,,,1358,,,1495
Interest,HCLTECH,658,,,,,,,,106,,,114,,,,91,,,74,,,89,,,69,,,174,,,505,,,511,,,319,,,353,,,553
Depreciation,HCLTECH,4244,,,,,,,,637,,,681,,,,404,,,410,,,828,,,1383,,,2073,,,3420,,,4611,,,4326,,,4145,,,4173
Profit before tax,HCLTECH,21978,,,,,,,,5270,,,7917,,,,9117,,,7041,,,10542,,,11024,,,12622,,,13980,,,15853,,,16951,,,19488,,,20967
Tax %,HCLTECH,,,,,,,,,23%,,,18%,,,,20%,,,20%,,,18%,,,21%,,,20%,,,21%,,,30%,,,20%,,,24%,,,25%
Net Profit,HCLTECH,16438,,,,,,,,4040,,,6528,,,,7342,,,5602,,,8606,,,8722,,,10120,,,11057,,,11169,,,13523,,,14845,,,15710
EPS in Rs,HCLTECH,60.53,,,,,,,,14.49,,,23.25,,,,26.02,,,19.86,,,30.16,,,31.32,,,37.31,,,40.75,,,41.07,,,49.74,,,54.73,,,57.86
Dividend Payout %,HCLTECH,,,,,,,,,21%,,,11%,,,,58%,,,40%,,,40%,,,19%,,,11%,,,25%,,,24%,,,84%,,,88%,,,90%
Sales,HDFCAMC,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,,,3160
Expenses,HDFCAMC,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,627
Operating Profit,HDFCAMC,2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,,,2533
OPM %,HDFCAMC,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78%,,,80%
Other Income,HDFCAMC,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4
Interest,HDFCAMC,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,9
Depreciation,HDFCAMC,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,52
Profit before tax,HDFCAMC,2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,2475
Tax %,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,22%
Net Profit,HDFCAMC,2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,,,1943
EPS in Rs,HDFCAMC,96.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.69,,,91.00
Dividend Payout %,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72%,,,77%
Revenue,HDFCBANK,314027,,,,,,,35861,,,42555,,,,50666,,,,63162,,,73271,,,85288,,,105161,,,122189,,,128552,,,135936,,,170754,,,283649
Interest,HDFCBANK,172763,,,,,,,19695,,,23445,,,,27288,,,,34070,,,38042,,,42381,,,53713,,,62137,,,59248,,,58584,,,77780,,,154139
Expenses,HDFCBANK,208507,,,,,,,12631,,,13508,,,,16164,,,,20055,,,23856,,,29532,,,34856,,,45459,,,52457,,,56557,,,63042,,,174196
Financing Profit,HDFCBANK,-67244,,,,,,,3534,,,5602,,,,7214,,,,9037,,,11374,,,13374,,,16592,,,14593,,,16848,,,20795,,,29932,,,-44685
Financing Margin %,HDFCBANK,-21%,,,,,,,10%,,,13%,,,,14%,,,,14%,,,16%,,,16%,,,16%,,,12%,,,13%,,,15%,,,18%,,,-16%
Other Income,HDFCBANK,149943,,,,,,,7133,,,8298,,,,9546,,,,11212,,,12905,,,16057,,,18947,,,24879,,,27333,,,31759,,,33912,,,124346
Depreciation,HDFCBANK,0,,,,,,,663,,,689,,,,680,,,,738,,,886,,,967,,,1221,,,1277,,,1385,,,1681,,,2345,,,3092
Profit before tax,HDFCBANK,82699,,,,,,,10004,,,13211,,,,16079,,,,19511,,,23393,,,28464,,,34318,,,38195,,,42796,,,50873,,,61498,,,76569
Tax %,HDFCBANK,,,,,,,,31%,,,34%,,,,33%,,,,34%,,,35%,,,35%,,,35%,,,29%,,,26%,,,25%,,,25%,,,15%
Net Profit,HDFCBANK,70231,,,,,,,6903,,,8768,,,,10703,,,,12821,,,15317,,,18561,,,22446,,,27296,,,31857,,,38151,,,46149,,,65446
EPS in Rs,HDFCBANK,89.75,,,,,,,14.44,,,18.22,,,,21.32,,,,25.32,,,29.81,,,35.66,,,41.00,,,49.70,,,57.74,,,68.62,,,82.44,,,84.33
Dividend Payout %,HDFCBANK,,,,,,,,19%,,,19%,,,,19%,,,,19%,,,18%,,,18%,,,18%,,,5%,,,11%,,,23%,,,23%,,,23%
Sales,HDFCLIFE,105044,,,,,,,14060,,,17166,,,,27215,,,,18141,,,30647,,,32260,,,38855,,,29380,,,71528,,,67126,,,70207,,,101482
Expenses,HDFCLIFE,104607,,,,,,,13535,,,16561,,,,26341,,,,17187,,,29674,,,31186,,,37640,,,28239,,,70294,,,66348,,,70127,,,100951
Operating Profit,HDFCLIFE,438,,,,,,,525,,,605,,,,874,,,,953,,,972,,,1074,,,1215,,,1141,,,1235,,,778,,,80,,,531
OPM %,HDFCLIFE,0%,,,,,,,4%,,,4%,,,,3%,,,,5%,,,3%,,,3%,,,3%,,,4%,,,2%,,,1%,,,0%,,,1%
Other Income,HDFCLIFE,501,,,,,,,28,,,241,,,,79,,,,108,,,139,,,282,,,136,,,369,,,445,,,766,,,1437,,,525
Interest,HDFCLIFE,0,,,,,,,15,,,11,,,,-14,,,,8,,,9,,,11,,,14,,,0,,,0,,,0,,,0,,,0
Depreciation,HDFCLIFE,0,,,,,,,35,,,41,,,,43,,,,45,,,41,,,44,,,45,,,47,,,51,,,56,,,76,,,79
Profit before tax,HDFCLIFE,938,,,,,,,502,,,794,,,,924,,,,1008,,,1061,,,1300,,,1291,,,1463,,,1629,,,1487,,,1441,,,977
Tax %,HDFCLIFE,,,,,,,,11%,,,9%,,,,15%,,,,19%,,,16%,,,15%,,,1%,,,11%,,,16%,,,11%,,,5%,,,-61%
Net Profit,HDFCLIFE,1636,,,,,,,447,,,725,,,,786,,,,817,,,887,,,1107,,,1278,,,1297,,,1361,,,1327,,,1368,,,1574
EPS in Rs,HDFCLIFE,7.61,,,,,,,2.24,,,3.64,,,,3.94,,,,4.09,,,4.44,,,5.50,,,6.33,,,6.43,,,6.73,,,6.28,,,6.37,,,7.32
Dividend Payout %,HDFCLIFE,,,,,,,,0%,,,14%,,,,18%,,,,22%,,,25%,,,25%,,,26%,,,0%,,,30%,,,27%,,,30%,,,27%
Sales,HERITGFOOD,3903,,,,,,,1602,,,1722,,,,2073,,,,2381,,,1894,,,2373,,,2515,,,2726,,,2473,,,2681,,,3241,,,3794
Expenses,HERITGFOOD,3646,,,,,,,1497,,,1625,,,,1989,,,,2248,,,1761,,,2628,,,2458,,,3108,,,2212,,,2495,,,3109,,,3590
Operating Profit,HERITGFOOD,257,,,,,,,105,,,97,,,,84,,,,132,,,134,,,-255,,,57,,,-382,,,261,,,186,,,132,,,203
OPM %,HERITGFOOD,7%,,,,,,,7%,,,6%,,,,4%,,,,6%,,,7%,,,-11%,,,2%,,,-14%,,,11%,,,7%,,,4%,,,5%
Other Income,HERITGFOOD,15,,,,,,,0,,,4,,,,7,,,,5,,,251,,,402,,,138,,,303,,,7,,,2,,,12,,,12
Interest,HERITGFOOD,9,,,,,,,19,,,15,,,,18,,,,17,,,49,,,20,,,23,,,24,,,21,,,6,,,6,,,9
Depreciation,HERITGFOOD,63,,,,,,,22,,,25,,,,34,,,,35,,,25,,,38,,,45,,,50,,,46,,,52,,,56,,,61
Profit before tax,HERITGFOOD,199,,,,,,,64,,,61,,,,39,,,,86,,,310,,,90,,,127,,,-154,,,202,,,130,,,82,,,145
Tax %,HERITGFOOD,,,,,,,,22%,,,26%,,,,28%,,,,36%,,,10%,,,30%,,,35%,,,10%,,,26%,,,26%,,,29%,,,27%
Net Profit,HERITGFOOD,148,,,,,,,50,,,45,,,,28,,,,55,,,278,,,63,,,83,,,-169,,,148,,,96,,,58,,,107
EPS in Rs,HERITGFOOD,15.97,,,,,,,5.38,,,4.88,,,,3.06,,,,5.97,,,29.64,,,6.76,,,8.77,,,-17.27,,,16.16,,,10.41,,,6.25,,,11.48
Dividend Payout %,HERITGFOOD,,,,,,,,7%,,,15%,,,,25%,,,,13%,,,3%,,,15%,,,11%,,,-7%,,,15%,,,24%,,,40%,,,22%
Sales,HEROMOTOCO,39148,,,,,,,,,,25275,,,,27538,,,,28457,,,28610,,,32458,,,33971,,,29254,,,30959,,,29551,,,34158,,,37789
Expenses,HEROMOTOCO,33678,,,,,,,,,,21722,,,,24018,,,,24033,,,24025,,,27124,,,28946,,,25184,,,26902,,,26295,,,30060,,,32554
Operating Profit,HEROMOTOCO,5471,,,,,,,,,,3553,,,,3520,,,,4424,,,4585,,,5334,,,5025,,,4070,,,4058,,,3256,,,4099,,,5235
OPM %,HEROMOTOCO,14%,,,,,,,,,,14%,,,,13%,,,,16%,,,16%,,,16%,,,15%,,,14%,,,13%,,,11%,,,12%,,,14%
Other Income,HEROMOTOCO,903,,,,,,,,,,430,,,,325,,,,421,,,830,,,564,,,741,,,1434,,,553,,,545,,,567,,,689
Interest,HEROMOTOCO,74,,,,,,,,,,12,,,,12,,,,15,,,27,,,31,,,37,,,47,,,46,,,53,,,105,,,76
Depreciation,HEROMOTOCO,783,,,,,,,,,,1107,,,,540,,,,443,,,502,,,575,,,624,,,846,,,715,,,690,,,697,,,757
Profit before tax,HEROMOTOCO,5516,,,,,,,,,,2864,,,,3292,,,,4387,,,4885,,,5292,,,5104,,,4611,,,3849,,,3058,,,3864,,,5090
Tax %,HEROMOTOCO,,,,,,,,,,,26%,,,,29%,,,,29%,,,27%,,,30%,,,32%,,,21%,,,24%,,,24%,,,28%,,,26%
Net Profit,HEROMOTOCO,4074,,,,,,,,,,2102,,,,2364,,,,3112,,,3546,,,3722,,,3466,,,3659,,,2936,,,2329,,,2800,,,3742
EPS in Rs,HEROMOTOCO,204.13,,,,,,,,,,105.30,,,,118.42,,,,157.34,,,179.49,,,186.29,,,172.44,,,182.14,,,146.05,,,115.95,,,140.61,,,187.31
Dividend Payout %,HEROMOTOCO,,,,,,,,,,,62%,,,,51%,,,,46%,,,47%,,,51%,,,50%,,,49%,,,72%,,,82%,,,71%,,,75%
Sales,HINDUNILVR,62107,,,,,,,27004,,,29234,,,,31972,,,,32186,,,33162,,,35545,,,39310,,,39783,,,47028,,,52446,,,60580,,,61896
Expenses,HINDUNILVR,47370,,,,,,,22784,,,24475,,,,26560,,,,26276,,,26834,,,28046,,,30430,,,29930,,,35402,,,39589,,,46433,,,47237
Operating Profit,HINDUNILVR,14737,,,,,,,4220,,,4759,,,,5412,,,,5910,,,6328,,,7499,,,8880,,,9853,,,11626,,,12857,,,14147,,,14659
OPM %,HINDUNILVR,24%,,,,,,,16%,,,16%,,,,17%,,,,18%,,,19%,,,21%,,,23%,,,25%,,,25%,,,25%,,,23%,,,24%
Other Income,HINDUNILVR,880,,,,,,,1123,,,792,,,,1247,,,,486,,,606,,,353,,,322,,,432,,,170,,,219,,,448,,,817
Interest,HINDUNILVR,377,,,,,,,26,,,41,,,,18,,,,17,,,35,,,26,,,33,,,118,,,117,,,106,,,114,,,334
Depreciation,HINDUNILVR,1259,,,,,,,251,,,296,,,,322,,,,353,,,432,,,520,,,565,,,1002,,,1074,,,1091,,,1137,,,1216
Profit before tax,HINDUNILVR,13981,,,,,,,5066,,,5215,,,,6320,,,,6026,,,6467,,,7306,,,8604,,,9165,,,10605,,,11879,,,13344,,,13926
Tax %,HINDUNILVR,,,,,,,,24%,,,24%,,,,31%,,,,31%,,,31%,,,28%,,,30%,,,26%,,,25%,,,25%,,,24%,,,26%
Net Profit,HINDUNILVR,10338,,,,,,,3839,,,3956,,,,4376,,,,4151,,,4490,,,5227,,,6060,,,6756,,,7999,,,8892,,,10143,,,10282
EPS in Rs,HINDUNILVR,43.98,,,,,,,17.71,,,18.24,,,,20.17,,,,19.18,,,20.68,,,24.09,,,27.97,,,31.17,,,34.03,,,37.79,,,43.07,,,43.74
Dividend Payout %,HINDUNILVR,,,,,,,,104%,,,71%,,,,74%,,,,83%,,,82%,,,83%,,,78%,,,80%,,,119%,,,90%,,,91%,,,96%
Sales,HLEGLAS,998,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,426,,,484,,,652,,,932,,,968
Expenses,HLEGLAS,888,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,354,,,392,,,541,,,793,,,856
Operating Profit,HLEGLAS,109,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,73,,,93,,,111,,,139,,,112
OPM %,HLEGLAS,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,17%,,,19%,,,17%,,,15%,,,12%
Other Income,HLEGLAS,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,4,,,-1,,,8,,,4
Interest,HLEGLAS,35,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,13,,,11,,,14,,,25,,,31
Depreciation,HLEGLAS,28,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,9,,,11,,,23,,,26
Profit before tax,HLEGLAS,52,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,57,,,77,,,84,,,99,,,59
Tax %,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,31%,,,31%,,,31%,,,30%,,,30%
Net Profit,HLEGLAS,37,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,39,,,53,,,58,,,70,,,41
EPS in Rs,HLEGLAS,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,,,5.91,,,8.00,,,8.52,,,10.23,,,4.35
Dividend Payout %,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,15%,,,10%,,,12%,,,11%,,,0%
Sales,HNDFDS,3004,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,,772,,,1407,,,2040,,,2598,,,2755
Expenses,HNDFDS,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,717,,,1319,,,1927,,,2425,,,2533
Operating Profit,HNDFDS,244,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,55,,,88,,,113,,,173,,,222
OPM %,HNDFDS,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,7%,,,6%,,,6%,,,7%,,,8%
Other Income,HNDFDS,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,,4,,,5,,,7
Interest,HNDFDS,65,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,11,,,19,,,20,,,36,,,57
Depreciation,HNDFDS,63,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,11,,,19,,,25,,,37,,,55
Profit before tax,HNDFDS,124,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,34,,,52,,,71,,,104,,,117
Tax %,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,,,35%,,,29%,,,38%,,,32%,,,21%
Net Profit,HNDFDS,97,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,22,,,37,,,45,,,71,,,93
EPS in Rs,HNDFDS,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,2.07,,,3.52,,,3.96,,,6.31,,,8.12
Dividend Payout %,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Revenue,ICICIBANK,166992,,,,,,,44885,,,49479,,,,54964,,,,59294,,,60940,,,62162,,,71982,,,84836,,,89163,,,95407,,,121067,,,159516
Interest,ICICIBANK,78862,,,,,,,28285,,,29711,,,,32318,,,,33996,,,34836,,,34262,,,39178,,,44666,,,42659,,,41167,,,50543,,,74108
Expenses,ICICIBANK,109481,,,,,,,31684,,,32852,,,,38766,,,,52252,,,63841,,,72806,,,83775,,,85361,,,91309,,,80798,,,87864,,,99560
Financing Profit,ICICIBANK,-21351,,,,,,,-15085,,,-13084,,,,-16120,,,,-26955,,,-37737,,,-44906,,,-50971,,,-45190,,,-44805,,,-26558,,,-17341,,,-14152
Financing Margin %,ICICIBANK,-13%,,,,,,,-34%,,,-26%,,,,-29%,,,,-45%,,,-62%,,,-72%,,,-71%,,,-53%,,,-50%,,,-28%,,,-14%,,,-9%
Other Income,ICICIBANK,85112,,,,,,,29320,,,30085,,,,35252,,,,42102,,,52458,,,56807,,,59325,,,64950,,,72030,,,62129,,,65112,,,76522
Depreciation,ICICIBANK,0,,,,,,,625,,,719,,,,798,,,,843,,,912,,,922,,,946,,,1171,,,1340,,,1330,,,1515,,,1935
Profit before tax,ICICIBANK,63761,,,,,,,13610,,,16282,,,,18334,,,,14304,,,13809,,,10978,,,7408,,,18589,,,25884,,,34241,,,46256,,,60434
Tax %,ICICIBANK,,,,,,,,26%,,,28%,,,,29%,,,,24%,,,18%,,,17%,,,23%,,,40%,,,22%,,,25%,,,26%,,,26%
Net Profit,ICICIBANK,47529,,,,,,,10130,,,11677,,,,12942,,,,10927,,,11340,,,9100,,,5689,,,11225,,,20364,,,26538,,,35461,,,46081
EPS in Rs,ICICIBANK,64.56,,,,,,,15.14,,,17.38,,,,19.20,,,,15.92,,,15.90,,,12.00,,,6.60,,,14.78,,,26.58,,,36.14,,,48.74,,,63.02
Dividend Payout %,ICICIBANK,,,,,,,,24%,,,24%,,,,24%,,,,29%,,,14%,,,12%,,,15%,,,0%,,,8%,,,14%,,,16%,,,16%
Sales,ICICIGI,21418,,,,,,,4012,,,4352,,,,4234,,,,6033,,,7520,,,6912,,,11163,,,11517,,,12183,,,16026,,,17876,,,20487
Expenses,ICICIGI,18678,,,,,,,4191,,,4578,,,,4456,,,,5269,,,6601,,,7174,,,9494,,,9745,,,10594,,,15010,,,16612,,,17910
Operating Profit,ICICIGI,2741,,,,,,,-178,,,-225,,,,-221,,,,764,,,919,,,-262,,,1669,,,1772,,,1589,,,1016,,,1264,,,2577
OPM %,ICICIGI,13%,,,,,,,-4%,,,-5%,,,,-5%,,,,13%,,,12%,,,-4%,,,15%,,,15%,,,13%,,,6%,,,7%,,,13%
